id,count
Andaman & Nicobar Island,23
Andhra Pradesh,39
Arunanchal Pradesh,32
Assam,55
Bihar,44
Chandigarh,20
Chhattisgarh,48
Dadara & Nagar Havelli,34
Daman & Diu,98
Goa,11
Gujarat,41
Haryana,44
Himachal Pradesh,38
Jammu & Kashmir,41
Jharkhand,39
Karnataka,35
Kerala,12
Lakshadweep,24
Madhya Pradesh,59
Maharashtra,25
Manipur,11
Meghalaya,52
Mizoram,34
Nagaland,21
NCT of Delhi,28
Puducherry,19
Punjab,30
Rajasthan,52
Sikkim,26
Tamil Nadu,22
Telangana,32
Tripura,29
Uttar Pradesh,57
Uttarakhand,36
West Bengal,32
Odisha,57